,P1,P2,P3
Actb,8,6,3
Bmi1,4,4,1
Bmp4,5,3,2
Bmp7,2,2,1
Bmpr1a,9,5,3
Cd34,6,1,2
Cdh2,4,4,1
Cdk2,10,7,3
Cldn6,2,2,1
Ctcf,8,6,3
Ctnnb1,8,6,3
Dnmt1,8,6,3
Dnmt3b,6,1,2
Dppa4,7,1,2
Eomes,8,6,3
Esrrb,5,3,2
Ezh2,3,4,1
Fbxo15,7,1,2
Fgf4,7,1,2
Fgf5,6,1,2
Fgfr2,2,2,1
Foxa2,2,2,1
Gapdh,8,6,3
Gdf3,7,1,2
Gli2,1,2,2
Grb2,9,5,3
Gsk3b,1,2,2
Hdac1,8,6,3
Hes1,1,2,2
Igf2,2,2,1
Jag1,4,4,1
Jarid2,10,7,3
Kdm1a,8,6,3
Kdm4c,6,1,2
Klf4,5,3,2
Lif,1,2,2
Lifr,1,2,2
Lin28a,8,6,3
Mbd3,8,6,3
Mef2a,4,6,3
Mki67ip,7,1,2
Myc,7,1,2
Myst3,9,5,3
Nanog,8,6,3
Nestin,4,4,1
Notch1,4,4,1
Nr0b1,5,3,2
Nr5a2,5,3,2
Nr6a1,1,2,2
Otx2,6,1,2
Pax6,4,4,1
Pou5f1,7,1,2
Prmt6,8,6,3
Prmt7,8,6,3
Ptpn11,8,6,3
Rai1,9,5,3
Rcc1,3,6,3
Rest,10,7,3
Sall4,6,7,2
Setdb1,3,6,3
Smad1,9,5,3
Smarcc1,8,6,3
Socs3,5,3,2
Sox2,1,2,2
Stat3,5,3,2
Tbx3,5,3,2
Tcf7l1,10,7,3
Trp53,7,1,2
Tubb3,10,7,3
Utf1,7,1,2
Vim,4,4,1
Wdr5,3,7,3
Zfp281,10,7,3
Zfp42,5,3,2
