,P1,P2,P3
Actb,1,1,1
Bmi1,5,3,1
Bmp4,6,2,2
Bmp7,5,2,2
Bmpr1a,5,3,1
Cd34,2,2,2
Cdh2,3,2,2
Cdk2,1,1,1
Cldn6,2,2,2
Ctcf,1,1,1
Ctnnb1,1,1,1
Dnmt1,1,1,1
Dnmt3b,1,1,1
Dppa4,3,2,2
Eomes,1,1,1
Esrrb,6,2,2
Ezh2,4,2,2
Fbxo15,3,2,2
Fgf4,3,2,2
Fgf5,2,2,2
Fgfr2,6,2,2
Foxa2,6,2,2
Gapdh,1,1,1
Gdf3,3,2,2
Gli2,4,2,2
Grb2,5,3,1
Gsk3b,4,2,2
Hdac1,1,1,1
Hes1,4,2,2
Igf2,4,2,2
Jag1,5,3,1
Jarid2,1,1,1
Kdm1a,5,1,1
Kdm4c,7,4,3
Klf4,6,2,2
Lif,2,2,2
Lifr,6,2,2
Lin28a,1,1,1
Mbd3,1,1,1
Mef2a,1,1,1
Mki67ip,5,3,1
Myc,6,2,2
Myst3,5,3,1
Nanog,6,2,2
Nestin,5,3,1
Notch1,4,2,2
Nr0b1,6,2,2
Nr5a2,6,2,2
Nr6a1,4,1,1
Otx2,3,2,2
Pax6,5,3,1
Pou5f1,3,2,2
Prmt6,5,3,1
Prmt7,1,1,1
Ptpn11,5,3,1
Rai1,5,2,2
Rcc1,1,1,1
Rest,1,1,1
Sall4,1,1,1
Setdb1,4,1,1
Smad1,5,3,1
Smarcc1,1,1,1
Socs3,6,2,2
Sox2,4,2,2
Stat3,6,2,2
Tbx3,6,2,2
Tcf7l1,1,1,1
Trp53,4,2,2
Tubb3,1,1,1
Utf1,3,2,2
Vim,5,3,1
Wdr5,1,1,1
Zfp281,7,4,3
Zfp42,3,2,2
