"partition","cluster","p-value","bonferroni","holm","BH"
1,1,1,1,1,1
1,2,1,1,1,1
1,3,5.74757670834684e-11,1.2644668758363e-09,1.2644668758363e-09,6.32233437918152e-10
1,4,0.412277900565028,1,1,0.824555801130057
1,5,0.80633377841523,1,1,1
1,6,4.20885311279533e-08,9.25947684814972e-07,8.41770622559065e-07,3.08649228271657e-07
1,7,0.00218963399125263,0.0481719478075578,0.0372237778512947,0.00643467664495155
2,1,1,1,1,1
2,2,0.412277900565028,1,1,0.824555801130057
2,3,5.74757670834684e-11,1.2644668758363e-09,1.2644668758363e-09,6.32233437918152e-10
2,4,0.00191808338175502,0.0421978343986105,0.0345255008715904,0.00643467664495155
2,5,1,1,1,1
2,6,2.69619441134729e-07,5.93162770496404e-06,5.12276938155986e-06,1.48290692624101e-06
3,1,1,1,1,1
3,2,0.00233988241634602,0.0514774131596124,0.0374381186615363,0.00643467664495155
3,3,0.412277900565028,1,1,0.824555801130057
3,4,1,1,1,1
3,5,0.927684333523663,1,1,1
4,1,1,1,1,1
4,2,1,1,1,1
4,3,0.00233988241634602,0.0514774131596124,0.0374381186615363,0.00643467664495155
4,4,0.593227538962,1,1,1
