,P1,P2,P3,P4
Actb,7,4,2,3
Bmi1,4,2,3,4
Bmp4,1,5,1,1
Bmp7,1,5,1,1
Bmpr1a,2,1,4,2
Cd34,3,3,5,4
Cdh2,4,2,3,4
Cdk2,7,4,2,3
Cldn6,3,3,5,4
Ctcf,7,4,2,3
Ctnnb1,7,4,2,3
Dnmt1,7,4,2,3
Dnmt3b,6,6,5,4
Dppa4,6,6,5,4
Eomes,5,6,5,4
Esrrb,3,3,5,4
Ezh2,5,6,5,4
Fbxo15,3,3,5,4
Fgf4,6,6,5,4
Fgf5,6,6,5,4
Fgfr2,6,6,5,4
Foxa2,7,4,2,3
Gapdh,7,4,2,3
Gdf3,6,6,5,4
Gli2,4,2,3,4
Grb2,7,4,2,3
Gsk3b,3,3,5,4
Hdac1,7,4,2,3
Hes1,4,2,3,4
Igf2,6,6,5,4
Jag1,4,2,3,4
Jarid2,7,4,2,3
Kdm1a,7,4,2,3
Kdm4c,7,4,2,3
Klf4,3,3,5,4
Lif,7,4,2,3
Lifr,3,3,5,4
Lin28a,3,3,5,4
Mbd3,7,4,2,3
Mef2a,2,1,4,2
Mki67ip,4,2,3,4
Myc,5,6,5,4
Myst3,7,4,2,3
Nanog,6,6,5,4
Nestin,3,3,5,4
Notch1,4,2,3,4
Nr0b1,3,3,5,4
Nr5a2,3,3,5,4
Nr6a1,7,4,2,3
Otx2,6,6,5,4
Pax6,4,2,3,4
Pou5f1,6,6,5,4
Prmt6,4,2,3,4
Prmt7,5,6,2,3
Ptpn11,5,4,2,3
Rai1,7,4,2,3
Rcc1,7,4,2,3
Rest,7,4,2,3
Sall4,7,4,2,3
Setdb1,7,4,2,3
Smad1,7,4,2,3
Smarcc1,7,4,2,3
Socs3,3,3,5,4
Sox2,3,3,5,4
Stat3,3,3,5,4
Tbx3,3,3,5,4
Tcf7l1,1,5,1,1
Trp53,5,6,5,4
Tubb3,6,6,5,4
Utf1,6,6,5,4
Vim,4,2,3,4
Wdr5,7,4,2,3
Zfp281,7,4,2,3
Zfp42,3,3,5,4
