gene	cell	time	entropy
Actb	R1	0	0.6184352372471301
Actb	R1	24	0.8826983079431104
Actb	R1	48	1.526622639424586
Actb	R1	72	1.159648077965481
Actb	R1	96	1.5366419146021277
Actb	R1	120	1.535991276626395
Actb	R1	168	1.4693608859152016
Bmi1	R1	0	1.6078327722240309
Bmi1	R1	24	1.7215180721062306
Bmi1	R1	48	1.8156711574544273
Bmi1	R1	72	1.2477845699871268
Bmi1	R1	96	1.4039952459637148
Bmi1	R1	120	1.7773031567921556
Bmi1	R1	168	1.7759226012822629
Bmp4	R1	0	0.6285870146276769
Bmp4	R1	24	1.5258369332617194
Bmp4	R1	48	1.359195271845522
Bmp4	R1	72	1.3630145494106922
Bmp4	R1	96	1.2327307193465151
Bmp4	R1	120	1.4300038428945445
Bmp4	R1	168	1.1559763209427363
Bmp7	R1	0	0.2204799425263619
Bmp7	R1	24	0.21469795529889313
Bmp7	R1	48	0.5672653446408904
Bmp7	R1	72	1.2500805215620177
Bmp7	R1	96	1.4966844251349998
Bmp7	R1	120	1.4178888562192196
Bmp7	R1	168	1.5193734491971678
Bmpr1a	R1	0	1.6751691491897354
Bmpr1a	R1	24	1.622025753225863
Bmpr1a	R1	48	1.2616904610974844
Bmpr1a	R1	72	1.0544749820074482
Bmpr1a	R1	96	1.6160742937836239
Bmpr1a	R1	120	1.2132538202936562
Bmpr1a	R1	168	1.4297448469032041
Cd34	R1	0	0.3773434130284537
Cd34	R1	24	1.4852325195419935
Cd34	R1	48	1.535712244899304
Cd34	R1	72	1.2815266952318605
Cd34	R1	96	0.4646087608435501
Cd34	R1	120	0.6056138865845269
Cd34	R1	168	0.9177844501673609
Cdh1	R1	0	0.6545420810757167
Cdh1	R1	24	-0.0
Cdh1	R1	48	0.5369450807441335
Cdh1	R1	72	0.3538974356674664
Cdh1	R1	96	0.4273981483918735
Cdh1	R1	120	-0.0
Cdh1	R1	168	0.4476067023322362
Cdh2	R1	0	1.4057573190921913
Cdh2	R1	24	1.4689718675385997
Cdh2	R1	48	1.1168038152167814
Cdh2	R1	72	1.3237641483063423
Cdh2	R1	96	0.7394102792933724
Cdh2	R1	120	1.3106296229531391
Cdh2	R1	168	1.6827010449671196
Cdk2	R1	0	1.513555448520817
Cdk2	R1	24	1.2526461517823815
Cdk2	R1	48	1.2957289152145064
Cdk2	R1	72	1.069272558196924
Cdk2	R1	96	2.1015583462746497
Cdk2	R1	120	2.141038794278341
Cdk2	R1	168	2.293265408664142
Cdx2	R1	0	0.47056678623538695
Cdx2	R1	24	-0.0
Cdx2	R1	48	0.1654270339962668
Cdx2	R1	72	-0.0
Cdx2	R1	96	-0.0
Cdx2	R1	120	0.2764346883181492
Cdx2	R1	168	0.15935006268563434
Cldn6	R1	0	1.015590987272941
Cldn6	R1	24	1.3685642302562853
Cldn6	R1	48	0.29490818186474044
Cldn6	R1	72	0.6053036752487779
Cldn6	R1	96	-0.0
Cldn6	R1	120	1.1057593340422875
Cldn6	R1	168	1.9504261466604613
Ctcf	R1	0	0.5764544520790282
Ctcf	R1	24	0.5622588012814014
Ctcf	R1	48	0.9133524999452189
Ctcf	R1	72	0.5159040796081888
Ctcf	R1	96	0.9347242322547687
