gene	cell	time	entropy
Actb	E14	0	1.495224691632226
Actb	E14	24	2.0752499489031964
Actb	E14	48	2.2396942409068843
Actb	E14	72	2.1695004867184533
Actb	E14	96	2.359718733364473
Actb	E14	120	2.578557319536985
Actb	E14	168	2.3833320650545313
Actb	R1	0	2.0179163579930193
Actb	R1	24	1.8384925291832916
Actb	R1	48	2.4338369471192167
Actb	R1	72	2.197307440169561
Actb	R1	96	2.5338679102263897
Actb	R1	120	2.4535516270286752
Actb	R1	168	2.3410289562487923
Bmi1	E14	0	1.6209711155386535
Bmi1	E14	24	0.9580084876785642
Bmi1	E14	48	1.0959504874096686
Bmi1	E14	72	1.6883330304548525
Bmi1	E14	96	1.2627178742703062
Bmi1	E14	120	1.4911913053595165
Bmi1	E14	168	1.4933762854284232
Bmi1	R1	0	1.3143414461247707
Bmi1	R1	24	1.4868260612401352
Bmi1	R1	48	1.571299545156577
Bmi1	R1	72	1.2477845699871268
Bmi1	R1	96	1.12203906007443
Bmi1	R1	120	1.4039880090699381
Bmi1	R1	168	1.824501322582382
Bmp4	E14	0	0.19014037825453678
Bmp4	E14	24	1.4150927314894592
Bmp4	E14	48	1.136493805109876
Bmp4	E14	72	0.6087316608160099
Bmp4	E14	96	0.5105893048540886
Bmp4	E14	120	0.16768127731175414
Bmp4	E14	168	0.4535891560612551
Bmp4	R1	0	0.9876201724535186
Bmp4	R1	24	1.5258369332617194
Bmp4	R1	48	1.359195271845522
Bmp4	R1	72	1.3630145494106922
Bmp4	R1	96	1.2327307193465151
Bmp4	R1	120	1.5462921590359462
Bmp4	R1	168	1.1559763209427363
Bmp7	E14	0	0.19144589101085874
Bmp7	E14	24	0.34490401425890305
Bmp7	E14	48	0.5595060836996313
Bmp7	E14	72	1.6783737588592051
Bmp7	E14	96	0.830766445999594
Bmp7	E14	120	0.7028835375520739
Bmp7	E14	168	0.6769810501137827
Bmp7	R1	0	0.22228935949653048
Bmp7	R1	24	0.21640458397013806
Bmp7	R1	48	0.5724673846500297
Bmp7	R1	72	1.5704410677078429
Bmp7	R1	96	1.8428860825020004
Bmp7	R1	120	1.7714340582925283
Bmp7	R1	168	1.8252653308108158
Bmpr1a	E14	0	1.9830443162372777
Bmpr1a	E14	24	2.11595216378019
Bmpr1a	E14	48	1.9287061022971825
Bmpr1a	E14	72	1.5602301671884005
Bmpr1a	E14	96	2.208235289425624
Bmpr1a	E14	120	1.9899492098021998
Bmpr1a	E14	168	2.010118522394905
Bmpr1a	R1	0	2.429470954715517
Bmpr1a	R1	24	2.4282060667596093
Bmpr1a	R1	48	2.0344453679961623
Bmpr1a	R1	72	1.9617024124615945
Bmpr1a	R1	96	2.1443335737839297
Bmpr1a	R1	120	1.6871865000603623
Bmpr1a	R1	168	2.0302181659270113
Cd34	E14	0	0.5109887511942693
Cd34	E14	24	1.7155703664853887
Cd34	E14	48	1.8580551549777524
Cd34	E14	72	1.8253220273643005
Cd34	E14	96	0.3119698068322531
Cd34	E14	120	0.29071041887464594
Cd34	E14	168	-0.0
Cd34	R1	0	0.3798918856717916
Cd34	R1	24	1.8793922488834094
Cd34	R1	48	1.9120368612817966
Cd34	R1	72	1.5447036453815977
Cd34	R1	96	0.46871032671334467
Cd34	R1	120	0.5531548833199114
Cd34	R1	168	0.8925280457849921
Cdh1	E14	0	0.7365009367069341
Cdh1	E14	24	-0.0
Cdh1	E14	48	0.7195988801776072
Cdh1	E14	72	1.027373392570908
Cdh1	E14	96	-0.0
Cdh1	E14	120	0.16768127731175414
Cdh1	E14	168	-0.0
Cdh1	R1	0	0.7081542659340408
Cdh1	R1	24	-0.0
Cdh1	R1	48	0.5672653446408904
Cdh1	R1	72	0.3686444257942624
Cdh1	R1	96	0.5277005254652447
Cdh1	R1	120	-0.0
