"V1","V2"
"Bmi1","Actb"
"Bmp4","Actb"
"Bmp4","Bmi1"
"Bmp7","Actb"
"Bmp7","Bmi1"
"Bmp7","Bmp4"
"Bmpr1a","Actb"
"Bmpr1a","Bmi1"
"Bmpr1a","Bmp4"
"Bmpr1a","Bmp7"
"Cd34","Actb"
"Cd34","Bmi1"
"Cd34","Bmp4"
"Cd34","Bmp7"
"Cd34","Bmpr1a"
"Cdh2","Actb"
"Cdh2","Bmi1"
"Cdh2","Bmp4"
"Cdh2","Bmp7"
"Cdh2","Bmpr1a"
"Cdh2","Cd34"
"Cdk2","Actb"
"Cdk2","Bmi1"
"Cdk2","Bmp4"
"Cdk2","Bmp7"
"Cdk2","Bmpr1a"
"Cdk2","Cd34"
"Cdk2","Cdh2"
"Cldn6","Actb"
"Cldn6","Bmi1"
"Cldn6","Bmp4"
"Cldn6","Bmp7"
"Cldn6","Bmpr1a"
"Cldn6","Cd34"
"Cldn6","Cdh2"
"Cldn6","Cdk2"
"Ctcf","Actb"
"Ctcf","Bmi1"
"Ctcf","Bmp4"
"Ctcf","Bmp7"
"Ctcf","Bmpr1a"
"Ctcf","Cd34"
"Ctcf","Cdh2"
"Ctcf","Cdk2"
"Ctcf","Cldn6"
"Ctnnb1","Actb"
"Ctnnb1","Bmi1"
"Ctnnb1","Bmp4"
"Ctnnb1","Bmp7"
"Ctnnb1","Bmpr1a"
"Ctnnb1","Cd34"
"Ctnnb1","Cdh2"
"Ctnnb1","Cdk2"
"Ctnnb1","Cldn6"
"Ctnnb1","Ctcf"
"Dnmt1","Actb"
"Dnmt1","Bmi1"
"Dnmt1","Bmp4"
"Dnmt1","Bmp7"
"Dnmt1","Bmpr1a"
"Dnmt1","Cd34"
"Dnmt1","Cdh2"
"Dnmt1","Cdk2"
"Dnmt1","Cldn6"
"Dnmt1","Ctcf"
"Dnmt1","Ctnnb1"
"Dnmt3b","Actb"
"Dnmt3b","Bmi1"
"Dnmt3b","Bmp4"
"Dnmt3b","Bmp7"
"Dnmt3b","Bmpr1a"
"Dnmt3b","Cd34"
